id,tagID,tagValue
412,552::1219::139::2850,weeabo::jrock::j-rock::better than lady gaga
44,563::61::18::10::385::86,terrorbanana::industrial::electronic::harsh ebm::melodic death metal::ebm
2179,16::887::395::195::74::24::4711::128::508::26::25::9262::4356,new wave::new wave songs::new romantic::british::synthpop::pop::random songs::hit::love::atmospheric::80s::80s i like::favorite bands
2040,16::889::201::509::4938::850::17::74::8572::9::4356::1097,new wave::fav artists::guilty pleasures::dance-pop::my favorites::cover::synth pop::synthpop::bad day::electro-industrial::favorite bands::covers
429,87::81::1995::14,post-rock::indie::icelandic::ambient
1796,16::24::25::18::889::147::17::201::3698::13::74::6661::39::79::7937::8500::1040::12021::12029::4356::4141::1097,new wave::pop::80s::electronic::fav artists::top::synth pop::guilty pleasures::london::chillout::synthpop::psb::dance::alternative::pop singles::best songs of the 80s::1996::weekly top tracks::tinosoft::favorite bands::old::covers
94,625::127::352::206::12290,soul::seen live::90s::<3::hellcats
2311,484::24::201::16::25::1032::306::1::10592,rick astley::pop::guilty pleasures::new wave::80s::1991::male vocalists::metal::like crack for my soul
1539,2145::79::850::6763::526::83::227,lungbutter::alternative::cover::prejebeno::piano::jazz::comedy
2020,85::4934::625::1434::24,funk::60s pop::soul::the beatles::pop
1332,2200::16::3496::6684::26::25::9262::24,adult contemporary::new wave::artists::johnny hates jazz::atmospheric::80s::80s i like::pop
1639,1097::16::509::74::709::24::130::641::18::8500::12208::25,covers::new wave::dance-pop::synthpop::1982::pop::female vocalists::top 40::electronic::best songs of the 80s::new wave and eighties::80s
387,247::625::511::1434::1074::6450::850,60s::soul::english::the beatles::rhythm and blues::handclaps::cover
2647,17::16::4258::6482::1032::39::195::73,synth pop::new wave::barrelhouse covers::skins soundtrack::1991::dance::british::rock
929,889::16::3496::850::127::24::8574::195::25,fav artists::new wave::artists::cover::seen live::pop::titans::british::80s
1381,611::78::72::73::9822::12485,canadian::alternative rock::hard rock::rock::remember him::kane
2105,889::16::17::25::8500::11499,fav artists::new wave::synth pop::80s::best songs of the 80s::leftovergrooves
1519,90::18::105::39::5897::191::9522::9972::570::187::327::12287,trance::electronic::house::dance::tiesto - cary brothers - ride::instrumental::faggotari::dance - trance::techno::electronica::progressive trance::melrose place
2332,87::364::127::18::73::11933,post-rock::favorites::seen live::electronic::rock::girlamazing
1347,2523::5075::231::130::5322::7864::83,level one::gorgeousity::ballad::female vocalists::james bond::welsh::jazz
1852,16::885::956::17::3049::25::74::799::18::6659::39::26::195::181::10092::11793::4356,new wave::fav songs::the beowulfs choice::synth pop::favorite tracks::80s::synthpop::genius::electronic::ultravox::dance::atmospheric::british::punk::blitz playlist::songs that make me happy in the pants :d::favorite bands
1906,24::247::130::1236::625,pop::60s::female vocalists::1970::soul
